Continente,Pais,Estado,Pais Migrante,Via,Ano,Mes,Chegadas
Europa,Croacia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Dinamarca,Acre,Brasil,Terrestre,2015,Fevereiro,3
Europa,Eslovaquia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Eslovenia,Acre,Brasil,Terrestre,2015,Fevereiro,2
Europa,Espanha,Acre,Brasil,Terrestre,2015,Fevereiro,6
Europa,Estonia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,FinlIndia,Acre,Brasil,Terrestre,2015,Fevereiro,2
Europa,Franca,Acre,Brasil,Terrestre,2015,Fevereiro,8
Europa,Grecia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Holanda,Acre,Brasil,Terrestre,2015,Fevereiro,2
Europa,Hungria,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Irlanda,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Italia,Acre,Brasil,Terrestre,2015,Fevereiro,7
Europa,Letonia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Lituania,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Luxemburgo,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Noruega,Acre,Brasil,Terrestre,2015,Fevereiro,1
Europa,Polonia,Acre,Brasil,Terrestre,2015,Fevereiro,4
Europa,Portugal,Acre,Brasil,Terrestre,2015,Fevereiro,2
Europa,Reino Unido,Acre,Brasil,Terrestre,2015,Fevereiro,3
Europa,Republica Tcheca,Acre,Brasil,Terrestre,2015,Fevereiro,1
Europa,Romenia,Acre,Brasil,Terrestre,2015,Fevereiro,1
Europa,Russia,Acre,Brasil,Terrestre,2015,Fevereiro,3
Europa,Servia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Suecia,Acre,Brasil,Terrestre,2015,Fevereiro,7
Europa,Suica,Acre,Brasil,Terrestre,2015,Fevereiro,2
Europa,Turquia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Ucrania,Acre,Brasil,Terrestre,2015,Fevereiro,0
Europa,Outros paises,Acre,Brasil,Terrestre,2015,Fevereiro,0
Oceania,Australia,Acre,Brasil,Terrestre,2015,Fevereiro,1
Oceania,Nova ZelIndia,Acre,Brasil,Terrestre,2015,Fevereiro,0
Oceania,Outros paises,Acre,Brasil,Terrestre,2015,Fevereiro,0
Continente nao especificado,Paises nao especificados,Acre,Brasil,Terrestre,2015,Fevereiro,0
Africa,Africa do Sul,Acre,Brasil,Terrestre,2015,Marco,1
Africa,Angola,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Cabo Verde,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Egito,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Gana,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Marrocos,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Mocambique,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Nigeria,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Quenia,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Tunisia,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Outros paises,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Costa Rica,Acre,Brasil,Terrestre,2015,Marco,1
America Central e Caribe,Cuba,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,El Salvador,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Guatemala,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Haiti,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Honduras,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Nicaragua,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Panama,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Republica Dominicana,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Trinidad e Tobago,Acre,Brasil,Terrestre,2015,Marco,0
America Central e Caribe,Outros paises,Acre,Brasil,Terrestre,2015,Marco,2
America do Norte,Canada,Acre,Brasil,Terrestre,2015,Marco,0
America do Norte,Estados Unidos,Acre,Brasil,Terrestre,2015,Marco,4
America do Norte,Mexico,Acre,Brasil,Terrestre,2015,Marco,2
America do Sul,Argentina,Acre,Brasil,Terrestre,2015,Marco,13
America do Sul,Bolivia,Acre,Brasil,Terrestre,2015,Marco,642
America do Sul,Chile,Acre,Brasil,Terrestre,2015,Marco,8
America do Sul,Colombia,Acre,Brasil,Terrestre,2015,Marco,7
America do Sul,Equador,Acre,Brasil,Terrestre,2015,Marco,4
America do Sul,Guiana,Acre,Brasil,Terrestre,2015,Marco,0
America do Sul,Guiana Francesa,Acre,Brasil,Terrestre,2015,Marco,0
America do Sul,Paraguai,Acre,Brasil,Terrestre,2015,Marco,0
America do Sul,Peru,Acre,Brasil,Terrestre,2015,Marco,961
America do Sul,Suriname,Acre,Brasil,Terrestre,2015,Marco,0
America do Sul,Uruguai,Acre,Brasil,Terrestre,2015,Marco,1
America do Sul,Venezuela,Acre,Brasil,Terrestre,2015,Marco,2
Asia,Arabia Saudita,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Bangladesh,Acre,Brasil,Terrestre,2015,Marco,0
Asia,China,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Cingapura,Acre,Brasil,Terrestre,2015,Marco,2
Asia,Filipinas,Acre,Brasil,Terrestre,2015,Marco,1
Asia,India,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Indonesia,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Ira,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Israel,Acre,Brasil,Terrestre,2015,Marco,1
Asia,Japao,Acre,Brasil,Terrestre,2015,Marco,2
Asia,Libano,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Malasia,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Paquistao,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Republica da Coreia,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Siria,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Tailandia,Acre,Brasil,Terrestre,2015,Marco,1
Asia,Taiwan,Acre,Brasil,Terrestre,2015,Marco,0
Asia,Outros paises,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Alemanha,Acre,Brasil,Terrestre,2015,Marco,2
Europa,Austria,Acre,Brasil,Terrestre,2015,Marco,1
Europa,Belgica,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Bulgaria,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Croacia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Dinamarca,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Eslovaquia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Eslovenia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Espanha,Acre,Brasil,Terrestre,2015,Marco,7
Europa,Estonia,Acre,Brasil,Terrestre,2015,Marco,1
Europa,FinlIndia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Franca,Acre,Brasil,Terrestre,2015,Marco,1
Europa,Grecia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Holanda,Acre,Brasil,Terrestre,2015,Marco,2
Europa,Hungria,Acre,Brasil,Terrestre,2015,Marco,2
Europa,Irlanda,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Italia,Acre,Brasil,Terrestre,2015,Marco,6
Europa,Letonia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Lituania,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Luxemburgo,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Noruega,Acre,Brasil,Terrestre,2015,Marco,1
Europa,Polonia,Acre,Brasil,Terrestre,2015,Marco,2
Europa,Portugal,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Reino Unido,Acre,Brasil,Terrestre,2015,Marco,3
Europa,Republica Tcheca,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Romenia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Russia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Servia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Suecia,Acre,Brasil,Terrestre,2015,Marco,1
Europa,Suica,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Turquia,Acre,Brasil,Terrestre,2015,Marco,0
Europa,Ucrania,Acre,Brasil,Terrestre,2015,Marco,1
Europa,Outros paises,Acre,Brasil,Terrestre,2015,Marco,0
Oceania,Australia,Acre,Brasil,Terrestre,2015,Marco,0
Oceania,Nova ZelIndia,Acre,Brasil,Terrestre,2015,Marco,0
Oceania,Outros paises,Acre,Brasil,Terrestre,2015,Marco,0
Continente nao especificado,Paises nao especificados,Acre,Brasil,Terrestre,2015,Marco,0
Africa,Africa do Sul,Acre,Brasil,Terrestre,2015,Abril,1
Africa,Angola,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Cabo Verde,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Egito,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Gana,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Marrocos,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Mocambique,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Nigeria,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Quenia,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Tunisia,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Outros paises,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Costa Rica,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Cuba,Acre,Brasil,Terrestre,2015,Abril,1
America Central e Caribe,El Salvador,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Guatemala,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Haiti,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Honduras,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Nicaragua,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Panama,Acre,Brasil,Terrestre,2015,Abril,4
America Central e Caribe,Republica Dominicana,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Trinidad e Tobago,Acre,Brasil,Terrestre,2015,Abril,0
America Central e Caribe,Outros paises,Acre,Brasil,Terrestre,2015,Abril,1
America do Norte,Canada,Acre,Brasil,Terrestre,2015,Abril,0
America do Norte,Estados Unidos,Acre,Brasil,Terrestre,2015,Abril,6
America do Norte,Mexico,Acre,Brasil,Terrestre,2015,Abril,2
America do Sul,Argentina,Acre,Brasil,Terrestre,2015,Abril,9
America do Sul,Bolivia,Acre,Brasil,Terrestre,2015,Abril,699
America do Sul,Chile,Acre,Brasil,Terrestre,2015,Abril,20
America do Sul,Colombia,Acre,Brasil,Terrestre,2015,Abril,14
America do Sul,Equador,Acre,Brasil,Terrestre,2015,Abril,6
America do Sul,Guiana,Acre,Brasil,Terrestre,2015,Abril,0
America do Sul,Guiana Francesa,Acre,Brasil,Terrestre,2015,Abril,0
America do Sul,Paraguai,Acre,Brasil,Terrestre,2015,Abril,0
America do Sul,Peru,Acre,Brasil,Terrestre,2015,Abril,894
America do Sul,Suriname,Acre,Brasil,Terrestre,2015,Abril,0
America do Sul,Uruguai,Acre,Brasil,Terrestre,2015,Abril,1
America do Sul,Venezuela,Acre,Brasil,Terrestre,2015,Abril,1
Asia,Arabia Saudita,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Bangladesh,Acre,Brasil,Terrestre,2015,Abril,0
Asia,China,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Cingapura,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Filipinas,Acre,Brasil,Terrestre,2015,Abril,0
Asia,India,Acre,Brasil,Terrestre,2015,Abril,1
Asia,Indonesia,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Ira,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Israel,Acre,Brasil,Terrestre,2015,Abril,2
Asia,Japao,Acre,Brasil,Terrestre,2015,Abril,3
Asia,Libano,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Malasia,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Paquistao,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Republica da Coreia,Acre,Brasil,Terrestre,2015,Abril,1
Asia,Siria,Acre,Brasil,Terrestre,2015,Abril,0
Asia,Tailandia,Acre,Brasil,Terrestre,2015,Abril,1
Asia,Taiwan,Acre,Brasil,Terrestre,2015,Abril,1
Asia,Outros paises,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Alemanha,Acre,Brasil,Terrestre,2015,Abril,5
Europa,Austria,Acre,Brasil,Terrestre,2015,Abril,1
Europa,Belgica,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Bulgaria,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Croacia,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Dinamarca,Acre,Brasil,Terrestre,2015,Abril,2
Europa,Eslovaquia,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Eslovenia,Acre,Brasil,Terrestre,2015,Abril,1
Europa,Espanha,Acre,Brasil,Terrestre,2015,Abril,3
Europa,Estonia,Acre,Brasil,Terrestre,2015,Abril,0
Europa,FinlIndia,Acre,Brasil,Terrestre,2015,Abril,1
Europa,Franca,Acre,Brasil,Terrestre,2015,Abril,9
Europa,Grecia,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Holanda,Acre,Brasil,Terrestre,2015,Abril,4
Europa,Hungria,Acre,Brasil,Terrestre,2015,Abril,2
Europa,Irlanda,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Italia,Acre,Brasil,Terrestre,2015,Abril,3
Europa,Letonia,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Lituania,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Luxemburgo,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Noruega,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Polonia,Acre,Brasil,Terrestre,2015,Abril,2
Europa,Portugal,Acre,Brasil,Terrestre,2015,Abril,1
Europa,Reino Unido,Acre,Brasil,Terrestre,2015,Abril,6
Europa,Republica Tcheca,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Romenia,Acre,Brasil,Terrestre,2015,Abril,1
Europa,Russia,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Servia,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Suecia,Acre,Brasil,Terrestre,2015,Abril,2
Europa,Suica,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Turquia,Acre,Brasil,Terrestre,2015,Abril,2
Europa,Ucrania,Acre,Brasil,Terrestre,2015,Abril,0
Europa,Outros paises,Acre,Brasil,Terrestre,2015,Abril,0
Oceania,Australia,Acre,Brasil,Terrestre,2015,Abril,1
Oceania,Nova ZelIndia,Acre,Brasil,Terrestre,2015,Abril,0
Oceania,Outros paises,Acre,Brasil,Terrestre,2015,Abril,1
Continente nao especificado,Paises nao especificados,Acre,Brasil,Terrestre,2015,Abril,0
Africa,Africa do Sul,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Angola,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Cabo Verde,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Egito,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Gana,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Marrocos,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Mocambique,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Nigeria,Acre,Brasil,Terrestre,2015,Maio,1
Africa,Quenia,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Tunisia,Acre,Brasil,Terrestre,2015,Maio,0
Africa,Outros paises,Acre,Brasil,Terrestre,2015,Maio,1
America Central e Caribe,Costa Rica,Acre,Brasil,Terrestre,2015,Maio,0
America Central e Caribe,Cuba,Acre,Brasil,Terrestre,2015,Maio,0
America Central e Caribe,El Salvador,Acre,Brasil,Terrestre,2015,Maio,0
America Central e Caribe,Guatemala,Acre,Brasil,Terrestre,2015,Maio,0
America Central e Caribe,Haiti,Acre,Brasil,Terrestre,2015,Maio,0
America Central e Caribe,Honduras,Acre,Brasil,Terrestre,2015,Maio,0
America Central e Caribe,Nicaragua,Acre,Brasil,Terrestre,2015,Maio,0
America Central e Caribe,Panama,Acre,Brasil,Terrestre,2015,Maio,0
